cg_iter,relative_residual,delta_weight,frame_index,obs_name
7,0.0002014370944627146,0.05,0,frame_00.npz
8,0.0001995913785557289,0.05,0,frame_00.npz
9,2.8645265136120566e-05,0.05,0,frame_00.npz
10,1.0795868038628655e-05,0.05,0,frame_00.npz
11,1.0203674832765454e-06,0.05,0,frame_00.npz
12,3.7578444702411347e-07,0.05,0,frame_00.npz
13,1.5952191832860954e-07,0.05,0,frame_00.npz
14,4.107566200101595e-08,0.05,0,frame_00.npz
1,0.08632324779059193,0.05,1,frame_07.npz
2,0.029009382740461994,0.05,1,frame_07.npz
3,0.007617843242975627,0.05,1,frame_07.npz
4,0.005635124928743288,0.05,1,frame_07.npz
5,0.0016969906194775162,0.05,1,frame_07.npz
6,0.0005406107309660102,0.05,1,frame_07.npz
7,0.00019794115368752316,0.05,1,frame_07.npz
8,0.0001711694486479867,0.05,1,frame_07.npz
9,3.118671876714367e-05,0.05,1,frame_07.npz
10,9.154825758881035e-06,0.05,1,frame_07.npz
11,2.065744983675498e-06,0.05,1,frame_07.npz
12,2.660012622100075e-07,0.05,1,frame_07.npz
13,7.185527284200958e-08,0.05,1,frame_07.npz
1,0.0851954841305255,0.05,2,frame_14.npz
2,0.028171180872385758,0.05,2,frame_14.npz
3,0.007480087595934215,0.05,2,frame_14.npz
4,0.0062576402398729775,0.05,2,frame_14.npz
5,0.00173280834561507,0.05,2,frame_14.npz
6,0.00043539244685000654,0.05,2,frame_14.npz
7,0.00016969770708905035,0.05,2,frame_14.npz
8,0.00012623944112590658,0.05,2,frame_14.npz
9,3.463947478248443e-05,0.05,2,frame_14.npz
10,7.486932340005426e-06,0.05,2,frame_14.npz
11,2.287125466608981e-06,0.05,2,frame_14.npz
12,2.551978106153418e-07,0.05,2,frame_14.npz
13,7.868931670890201e-08,0.05,2,frame_14.npz
