sequence,lag,start,end,e_window,reference_e_window,absolute_gap_window,direct_mass_ratio,path_mass_ratio,path_to_direct_mass_ratio,direct_entropy_fraction,path_entropy_fraction,direct_effective_support,path_effective_support,direct_spread_rms,path_spread_rms,direct_displacement_rms,path_displacement_rms
starwarps,9,5,14,0.3980290361633371,0.9903454920180751,0.592316455854738,0.554909193208173,0.33527848988257647,0.6042042445615016,0.9700540715413999,0.9576488154118904,56.53888872491687,53.66437961648356,0.11180379642328471,0.1001647398889499,0.16715552422919117,0.23395177286513913
starwarps,10,0,10,0.3458763500606791,0.9966061746688137,0.6507298246081346,0.736514787101189,0.46508780898193236,0.6314711084246493,0.9722239991101412,0.960225998168336,57.04060333645781,54.2426587140021,0.10877302970271233,0.10584171863946856,0.14452233050043223,0.19204732412372233
starwarps,10,1,11,0.3316324457337645,0.9967198366112471,0.6650873908774826,0.6368441854822343,0.4309302528087278,0.6766651288217645,0.965990893109486,0.9542971486025074,55.600783631755945,52.92153093232247,0.10644021906330063,0.09763135812533368,0.15009696287883537,0.19852754991389518
starwarps,10,2,12,0.3179590029607724,0.9966885749915169,0.6787295720307445,0.5919763900270809,0.44046151410856826,0.7440525019729565,0.9625997977142441,0.9548237537148234,54.83082502187791,53.037560802481075,0.10743325698999256,0.09966697514209337,0.15472441861717962,0.20899033543698253
starwarps,10,3,13,0.3670522350307642,0.9964438269094291,0.629391591878665,0.5740687577994196,0.3858487852226153,0.6721299147190856,0.9663814070540823,0.9572835737126936,55.692475496717094,53.58292536505067,0.10885539070216214,0.10112703292325655,0.15711798306674418,0.22220654554328126
starwarps,10,4,14,0.4037483820528721,0.9959877140641094,0.5922393320112372,0.5342203347149072,0.3280247211597522,0.6140251500063291,0.9687659429818041,0.9576499451486481,56.23446745445318,53.664631689523574,0.11059577604770734,0.10016487513082518,0.164654565259607,0.23611061431796498
starwarps,11,0,11,0.36249480711887255,0.9982539927608819,0.6357591856420093,0.6593958356210282,0.3828400784270242,0.580592199322066,0.9664520715453029,0.9542973026749547,55.705738038330864,52.92156483519534,0.10590843517475047,0.09763133329988595,0.1474040362811553,0.19066441543524018
starwarps,11,1,12,0.37009586282272333,0.9982367689509687,0.6281409061282454,0.5918138276592702,0.33795900391076317,0.5710562817490284,0.9622705164306659,0.9548235039051565,54.75267238276662,53.03750569931661,0.10587581918127667,0.09966723786500374,0.15125028112745506,0.1981410942942967
starwarps,11,2,13,0.3936949876355588,0.9981613512609723,0.6044663636254135,0.6097769121890819,0.34850346221647377,0.571526168423393,0.9652305522277091,0.9572831847322748,55.42419612729025,53.58283868214825,0.10733629562641095,0.10112703602652097,0.1504743435303766,0.20642265488287453
starwarps,11,3,14,0.4333735046508318,0.9981266732990236,0.5647531686481918,0.5795704166008067,0.3086066740873583,0.5324748559413078,0.9677032866570291,0.957648636965943,55.98460951458532,53.66433972026625,0.10904463284555221,0.10016478851721558,0.15659779876599747,0.22135093153387259
starwarps,12,0,12,0.4110051754659708,0.9990581230984857,0.5880529476325149,0.6123002638238964,0.30024403752629886,0.49035425144394845,0.9631909256393348,0.954823516689271,54.960790509568895,53.037508519141895,0.10576849970798714,0.09966722588937656,0.14909324894309203,0.19096984142765538
starwarps,12,1,13,0.46440732031058424,0.9990183577932313,0.5346110374826472,0.6080254497093366,0.26740137995050917,0.4397864926185886,0.9650867412333946,0.9572830989299148,55.388130358807594,53.582819561446875,0.10624627717620895,0.10112703308415903,0.14783191781008664,0.19593085358620574
starwarps,12,2,14,0.47053962229451274,0.9990353400371157,0.528495717742603,0.6175271853457603,0.27873784040206534,0.4513774405672471,0.966898547732287,0.9576478834037689,55.79627597333045,53.66417153559515,0.1075129684639788,0.10016473895277317,0.14971021514612007,0.20478448345277328
starwarps,13,0,13,0.5086069949929908,0.9994738297785543,0.4908668347855635,0.6255216253421095,0.2375603690591455,0.37977962621071537,0.9659849415072607,0.9572831030260127,55.59428732926044,53.58282047423661,0.10649481940583796,0.10112703325262436,0.1469352904293192,0.19058886953994553
starwarps,13,1,14,0.5459222874369681,0.999485561036894,0.4535632735999259,0.615426913987393,0.21387135501778656,0.34751706523866405,0.9669862864022625,0.9576477207157218,55.81553889632388,53.664135226049446,0.10636171654026474,0.10016472787517991,0.14711830862341513,0.19451285079535596
starwarps,14,0,14,0.5872851054001039,0.9997237396277268,0.41243863422762284,0.6305482058758297,0.19000409517913355,0.30133159274510724,0.9679607011010609,0.9576477283321064,56.041768308649665,53.66413692588272,0.10662855669560622,0.10016472839612409,0.14711347067214486,0.1904983987899
static,2,0,2,0.2058601219937639,0.3573905887245764,0.1515304667308125,0.5576604692841877,0.38195752620300194,0.6849284595934909,0.9283642101373666,0.9199253296228064,47.635995413579856,45.87434788488537,0.09407140690857882,0.09211836183879533,0.1317403794046273,0.14494412634070353
static,2,1,3,0.26572413998032157,0.3704002650475705,0.10467612506724894,0.5521213323662327,0.33181382205327314,0.6009798980800377,0.9382383908238893,0.9285336242119175,49.6533421745513,47.548983537288706,0.09696173169274462,0.09501843894956037,0.13185679165845032,0.14522192169027803
static,2,2,4,0.2769590180702074,0.39518366564696583,0.11822464757675843,0.7016684666927403,0.411807807867576,0.5868979830440436,0.9562853760147164,0.9512592078363536,53.47638031012197,52.261295225591965,0.10066344009622509,0.09994216714754486,0.13451622763867124,0.1490079490009425
static,2,3,5,0.1842185769533188,0.44728920186699855,0.2630706249136797,0.9098248171624828,0.670042966950466,0.7364527261854247,0.979773492240904,0.9814490078016814,58.85845288369972,59.24898590849662,0.10497748112987872,0.1065060137627208,0.1376648229211442,0.1539032034046764
static,2,4,6,0.12186348089118862,0.47449552469332934,0.35263204380214075,0.9351538890237414,0.8894878587194835,0.951167363104343,0.9801330496515763,0.9820823562092427,58.969648712776845,59.41138551378732,0.10296876320267413,0.104964471036359,0.13702086511388706,0.1548172533158634
static,2,5,7,0.12431238591904416,0.4394475927422175,0.31513520682317336,0.822714594680184,0.8227684185783025,1.000065422320774,0.9678723452140425,0.9604103916522543,56.07746572220522,54.30046856918671,0.0974197037883597,0.09609060864258721,0.13598749149606354,0.1529832218432324
static,2,6,8,0.11783960436189173,0.3880528825345347,0.27021327817264296,0.7800262348669715,0.7082506730677729,0.9079831439112563,0.9555935575580592,0.9484444709190233,53.30938079969297,51.658446012327666,0.09522229196293953,0.09330738801389081,0.13475423699649297,0.14982591761222366
static,2,7,9,0.12591592402361762,0.36782055196474944,0.24190462794113182,0.7501761597135816,0.6435641029093653,0.8578839710863099,0.9498436516254465,0.9443081856930629,52.049361760150774,50.77472426606398,0.09433337360545008,0.09285257141605795,0.1323344169695647,0.14682838828061184
